uid	com_name	pre_open_url	json_domain
setting_com_51.ini::com_00393	旷视科技	https://app.mokahr.com/campus-recruitment/megviihr/38642#/jobs?keyword=	https://app.mokahr.com/campus-recruitment/megviihr/38642
setting_com_51.ini::com_00430	百信银行	https://app.mokahr.com/social-recruitment/aibank/46870#/jobs?keyword=	https://app.mokahr.com/social-recruitment/aibank/46870
setting_com_51.ini::com_00438	拓维信息	https://app.mokahr.com/social-recruitment/talkweb/71920#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/social-recruitment/talkweb/71920
setting_com_51.ini::com_00439	拓维信息	https://app.mokahr.com/campus-recruitment/talkweb/71921#/jobs?keyword=	https://app.mokahr.com/campus-recruitment/talkweb/71921
setting_com_51.ini::com_00442	安永	https://app.mokahr.com/social-recruitment/ey/102474#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/social-recruitment/ey/102474
setting_com_51.ini::com_00450	宁波均胜电子股份有限公司	https://app.mokahr.com/campus-recruitment/joyson/94311#/jobs	https://app.mokahr.com/campus-recruitment/joyson/94311
setting_com_51.ini::com_00451	宁波均胜电子股份有限公司	https://app.mokahr.com/social-recruitment/joyson/94310#/jobs	https://app.mokahr.com/social-recruitment/joyson/94310
setting_com_51.ini::com_00474	广电运通	https://app.mokahr.com/social-recruitment/grgbanking/41731#/jobs?page=1&anchorName=jobsList&keyword=	https://app.mokahr.com/social-recruitment/grgbanking/41731
setting_com_51.ini::com_00475	广电运通	https://app.mokahr.com/campus-recruitment/grgbanking/39448#/jobs	https://app.mokahr.com/campus-recruitment/grgbanking/39448
setting_com_51.ini::com_00476	北京神州泰岳软件股份有限公司	https://app.mokahr.com/campus-recruitment/ultrapower/43036#/jobs	https://app.mokahr.com/campus-recruitment/ultrapower/43036
setting_com_51.ini::com_00480	中控科技集团有限公司  	https://app.mokahr.com/campus-recruitment/supcon/148189#/jobs	https://app.mokahr.com/campus-recruitment/supcon/148189
setting_com_51.ini::com_00495	福建博思软件股份有限公司	https://app.mokahr.com/campus-recruitment/bosssoft/68370#/jobs	https://app.mokahr.com/campus-recruitment/bosssoft/68370
setting_com_51.ini::com_00496	福建博思软件股份有限公司	https://app.mokahr.com/social-recruitment/bosssoft/68369#/jobs?keyword=	https://app.mokahr.com/social-recruitment/bosssoft/68369
setting_com_52.ini::com_00536	华测检测技术股份有限公司	https://app.mokahr.com/social-recruitment/cti/145979#/jobs	https://app.mokahr.com/social-recruitment/cti/145979
setting_com_52.ini::com_00537	华测检测技术股份有限公司	https://app.mokahr.com/campus-recruitment/cti/145980#/jobs?keyword=	https://app.mokahr.com/campus-recruitment/cti/145980
setting_com_52.ini::com_00538	华测检测技术股份有限公司	https://app.mokahr.com/campus-recruitment/cti/142093#/jobs?keyword=	https://app.mokahr.com/campus-recruitment/cti/142093
setting_com_52.ini::com_00543	深圳市欣锐科技股份有限公司	https://app.mokahr.com/campus-recruitment/shinry/142745?locale=zh-CN#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/campus-recruitment/shinry/142745?locale=zh-CN
setting_com_52.ini::com_00544	深圳市欣锐科技股份有限公司	https://app.mokahr.com/social-recruitment/shinry/47149#/jobs?page=1&pageSize=30	https://app.mokahr.com/social-recruitment/shinry/47149
setting_com_52.ini::com_00562	广东海大集团股份有限公司	https://app.mokahr.com/social-recruitment/haid/92489#/jobs?keyword=	https://app.mokahr.com/social-recruitment/haid/92489
setting_com_52.ini::com_00563	广东海大集团股份有限公司	https://app.mokahr.com/campus-recruitment/haid/101909#/jobs?keyword=	https://app.mokahr.com/campus-recruitment/haid/101909
setting_com_52.ini::com_00566	温氏食品集团股份有限公司	https://app.mokahr.com/social-recruitment/wens/92365#/jobs?keyword=	https://app.mokahr.com/social-recruitment/wens/92365
setting_com_52.ini::com_00567	温氏食品集团股份有限公司	https://app.mokahr.com/campus-recruitment/wens/92366#/jobs?keyword=	https://app.mokahr.com/campus-recruitment/wens/92366
setting_com_52.ini::com_00591	雀巢集团有限公司 	https://app.mokahr.com/campus-recruitment/nestlezgc/91899#/jobs/	https://app.mokahr.com/campus-recruitment/nestlezgc/91899
setting_com_52.ini::com_00593	佳都集团有限公司	https://app.mokahr.com/campus-recruitment/pcitech/39848#/jobs/	https://app.mokahr.com/campus-recruitment/pcitech/39848
setting_com_52.ini::com_00594	佳都集团有限公司	https://app.mokahr.com/social-recruitment/pcitech/39847#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/social-recruitment/pcitech/39847
setting_com_52.ini::com_00612	巴德富集团有限公司	https://app.mokahr.com/social-recruitment/batf/72105#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/social-recruitment/batf/72105
setting_com_52.ini::com_00613	巴德富集团有限公司	https://app.mokahr.com/campus-recruitment/batf/144997?locale=zh-CN#/jobs	https://app.mokahr.com/campus-recruitment/batf/144997
setting_com_52.ini::com_00621	深圳顺络电子股份有限公司	https://app.mokahr.com/campus-recruitment/sunlord/142929?locale=zh-CN#/jobs	https://app.mokahr.com/campus-recruitment/sunlord/142929
setting_com_52.ini::com_00642	智加科技	https://app.mokahr.com/social-recruitment/plus/69931#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/social-recruitment/plus/69931
setting_com_52.ini::com_00647	鹰角网络	https://app.mokahr.com/campus-recruitment/hypergryph/26326?locale=zh-CN#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/campus-recruitment/hypergryph/26326?locale=zh-CN
setting_com_52.ini::com_00652	古茗	https://app.mokahr.com/campus-recruitment/guming/39377#/jobs	https://app.mokahr.com/campus-recruitment/guming/39377
setting_com_52.ini::com_00653	古茗	https://app.mokahr.com/social-recruitment/guming/39376#/jobs?	https://app.mokahr.com/social-recruitment/guming/39376
setting_com_52.ini::com_00663	百丽国际	https://app.mokahr.com/social-recruitment/bellejt/39760#/jobs?page=1&anchorName=jobsList	https://app.mokahr.com/social-recruitment/bellejt/39760
